DATE,NPIV
2018-06-02 5:30,871.3945705
2018-06-02 6:30,861.2751997
2018-06-02 7:30,858.1421428
2018-06-02 8:30,852.6500508
2018-06-02 9:30,852.3966215
2018-06-02 10:30,851.0978173
2018-06-02 11:30,850.5392437
2018-06-02 12:30,849.9665654
2018-06-02 13:30,851.962056
2018-06-02 14:30,860.3724133
2018-06-02 15:30,867.1346123
2018-06-02 16:30,873.6961286
2018-06-02 17:30,880.5161016
2018-06-02 18:30,888.0511315
2018-06-02 19:30,891.6078387
2018-06-02 20:30,896.4009069
2018-06-02 21:30,904.3954986
2018-06-02 22:30,907.1863097
2018-06-02 23:30,905.5362521
2018-06-03 0:30,902.9874305
2018-06-03 1:30,904.9552701
2018-06-03 2:30,903.9607692
2018-06-03 3:30,902.1805003
2018-06-03 4:30,897.7504418
2018-06-03 5:30,895.8891365
2018-06-03 6:30,898.7826457
2018-06-03 7:30,900.7031094
2018-06-03 8:30,899.924962
2018-06-03 9:30,904.3538802
2018-06-03 10:30,904.5437406
2018-06-03 11:30,906.0712296
2018-06-03 12:30,907.9109746
2018-06-03 13:30,915.2335542
2018-06-03 14:30,916.611151
2018-06-03 15:30,920.2135662
2018-06-03 16:30,921.7560278
2018-06-03 17:30,927.2268907
2018-06-03 18:30,931.7274044
2018-06-03 19:30,933.3910246
2018-06-03 20:30,934.7688048
2018-06-03 21:30,933.723806
2018-06-03 22:30,929.201604
2018-06-03 23:30,927.4814984
2018-06-04 0:30,926.410383
2018-06-04 1:30,922.5216991
2018-06-04 2:30,922.2065088
2018-06-04 3:30,917.8755669
2018-06-04 4:30,910.122221
2018-06-04 5:30,911.6456922
2018-06-04 6:30,912.9844285
2018-06-04 7:30,908.660844
2018-06-04 8:30,906.9319386
2018-06-04 9:30,907.8427338
2018-06-04 10:30,906.3711817
2018-06-04 11:30,906.3510377
2018-06-04 12:30,905.7869063
2018-06-04 13:30,906.9803654
2018-06-04 14:30,905.2467514
2018-06-04 15:30,907.293929
2018-06-04 16:30,905.3659555
2018-06-04 17:30,906.6924379
2018-06-04 18:30,902.4403683
2018-06-04 19:30,899.8136757
2018-06-04 20:30,900.2016389
2018-06-04 21:30,896.3618349
2018-06-04 22:30,895.0210993
2018-06-04 23:30,894.6919335
2018-06-05 0:30,889.725034
2018-06-05 1:30,885.1953795
2018-06-05 2:30,886.1776625
2018-06-05 3:30,878.549674
2018-06-05 4:30,876.8207421
2018-06-05 5:30,876.6483804
2018-06-05 6:30,875.7928175
2018-06-05 7:30,873.2687834
2018-06-05 8:30,875.0889329
2018-06-05 9:30,875.8995504
2018-06-05 10:30,879.8385194
2018-06-05 11:30,882.0307937
2018-06-05 12:30,885.6598186
2018-06-05 13:30,890.5925302
2018-06-05 14:30,893.6281028
2018-06-05 15:30,902.7931984
2018-06-05 16:30,909.4627095
2018-06-05 17:30,918.0895884
2018-06-05 18:30,924.2110721
2018-06-05 19:30,930.8462392
2018-06-05 20:30,935.2746092
2018-06-05 21:30,934.3843686
2018-06-05 22:30,938.3133637
2018-06-05 23:30,937.2991038
2018-06-06 0:30,934.5689808
2018-06-06 1:30,927.9117069
2018-06-06 2:30,922.8240657
2018-06-06 3:30,914.602688
2018-06-06 4:30,903.5607866
2018-06-06 5:30,899.9773827
2018-06-06 6:30,893.9611796
2018-06-06 7:30,886.1366026
2018-06-06 8:30,881.2216668
2018-06-06 9:30,878.6003429
2018-06-06 10:30,878.916935
2018-06-06 11:30,880.506838
2018-06-06 12:30,884.389361
2018-06-06 13:30,888.0009427
2018-06-06 14:30,889.6616751
2018-06-06 15:30,899.020305
2018-06-06 16:30,905.5278286
2018-06-06 17:30,912.4501472
2018-06-06 18:30,919.2941877
2018-06-06 19:30,922.4829634
2018-06-06 20:30,927.7340606
2018-06-06 21:30,929.7276292
2018-06-06 22:30,932.4552787
2018-06-06 23:30,929.7020341
2018-06-07 0:30,931.0529051
2018-06-07 1:30,930.3239034
2018-06-07 2:30,927.8796714
2018-06-07 3:30,925.6764705
2018-06-07 4:30,918.3299775
2018-06-07 5:30,914.5238149
2018-06-07 6:30,907.1832361
2018-06-07 7:30,904.6943017
2018-06-07 8:30,902.4920059
2018-06-07 9:30,903.3975714
2018-06-07 10:30,903.7615293
2018-06-07 11:30,905.8357894
2018-06-07 12:30,905.3237027
2018-06-07 13:30,905.523091
2018-06-07 14:30,907.3512099
2018-06-07 15:30,908.6991003
2018-06-07 16:30,909.3170911
