DATE,NPIV,,
2020-04-07 3:30,889.166619,,
2020-04-07 4:30,888.8512924,,
2020-04-07 5:30,886.3363094,,
2020-04-07 6:30,885.0699213,,
2020-04-07 7:30,884.9850832,,
2020-04-07 8:30,887.18698,,
2020-04-07 9:30,887.0576878,,
2020-04-07 10:30,892.3144969,,
2020-04-07 11:30,896.1597623,,
2020-04-07 12:30,902.8678313,,
2020-04-07 13:30,909.0055732,,
2020-04-07 14:30,923.437707,,
2020-04-07 15:30,929.2011232,,
2020-04-07 16:30,939.4334208,,
2020-04-07 17:30,949.7295063,,
2020-04-07 18:30,955.6733841,,
2020-04-07 19:30,960.1959118,,
2020-04-07 20:30,959.7622649,,
2020-04-07 21:30,962.4763634,,
2020-04-07 22:30,958.9653441,,
2020-04-07 23:30,959.1477807,,
2020-04-08 0:30,956.3356571,,
2020-04-08 1:30,947.3007313,,
2020-04-08 2:30,944.6183931,,
2020-04-08 3:30,936.2973645,,
2020-04-08 4:30,NaN,,
2020-04-08 5:30,NaN,,
2020-04-08 6:30,NaN,,
2020-04-08 7:30,NaN,,
2020-04-08 8:30,NaN,,
2020-04-08 9:30,NaN,,
2020-04-08 10:30,NaN,,
2020-04-08 11:30,NaN,,
2020-04-08 12:30,NaN,,
2020-04-08 13:30,NaN,,
2020-04-08 14:30,NaN,,
2020-04-08 15:30,NaN,,
2020-04-08 16:30,NaN,,
2020-04-08 17:30,NaN,,
2020-04-08 18:30,NaN,,
2020-04-08 19:30,NaN,,
2020-04-08 20:30,NaN,,
2020-04-08 21:30,NaN,,
2020-04-08 22:30,NaN,,
2020-04-08 23:30,NaN,,
2020-04-09 0:30,NaN,,
2020-04-09 1:30,NaN,,
2020-04-09 2:30,NaN,,
2020-04-09 3:30,NaN,,
2020-04-09 4:30,NaN,,
2020-04-09 5:30,NaN,,
2020-04-09 6:30,NaN,,
2020-04-09 7:30,NaN,,
2020-04-09 8:30,NaN,,
2020-04-09 9:30,NaN,,
2020-04-09 10:30,NaN,,
2020-04-09 11:30,NaN,,
2020-04-09 12:30,NaN,,
2020-04-09 13:30,NaN,,
2020-04-09 14:30,NaN,,
2020-04-09 15:30,NaN,,
2020-04-09 16:30,NaN,,
2020-04-09 17:30,NaN,,
2020-04-09 18:30,NaN,,
2020-04-09 19:30,NaN,,
2020-04-09 20:30,NaN,,
2020-04-09 21:30,NaN,,
2020-04-09 22:30,NaN,,
2020-04-09 23:30,NaN,,
2020-04-10 0:30,NaN,,
2020-04-10 1:30,NaN,,
2020-04-10 2:30,NaN,,
2020-04-10 3:30,NaN,,
2020-04-10 4:30,NaN,,
2020-04-10 5:30,NaN,,
2020-04-10 6:30,NaN,,
2020-04-10 7:30,NaN,,
2020-04-10 8:30,922.0667575,,
2020-04-10 9:30,923.7351502,,
2020-04-10 10:30,920.8388198,,
2020-04-10 11:30,925.1002595,,
2020-04-10 12:30,921.2559147,,
2020-04-10 13:30,919.0764214,,
2020-04-10 14:30,918.5970601,,
2020-04-10 15:30,917.369406,,
2020-04-10 16:30,920.8588059,,
2020-04-10 17:30,924.2472755,,
2020-04-10 18:30,927.5466551,,
2020-04-10 19:30,931.0562223,,
2020-04-10 20:30,930.6992589,,
2020-04-10 21:30,933.1451621,,
2020-04-10 22:30,937.5948858,,
2020-04-10 23:30,936.9300241,,
2020-04-11 0:30,934.0270527,,
2020-04-11 1:30,931.5275309,,
2020-04-11 2:30,927.8274752,,
2020-04-11 3:30,923.2753388,,
2020-04-11 4:30,922.8540648,,
2020-04-11 5:30,921.5605618,,
2020-04-11 6:30,917.2447763,,
2020-04-11 7:30,916.3533678,,
2020-04-11 8:30,913.749384,,
2020-04-11 9:30,910.2830405,,
2020-04-11 10:30,905.5574133,,
2020-04-11 11:30,907.6820281,,
2020-04-11 12:30,905.3040089,,
2020-04-11 13:30,907.7207492,,
2020-04-11 14:30,912.9908756,,
2020-04-11 15:30,917.7383031,,
2020-04-11 16:30,922.6893633,,
2020-04-11 17:30,927.0259963,,
2020-04-11 18:30,933.2110398,,
2020-04-11 19:30,934.1001856,,
2020-04-11 20:30,934.7612846,,
2020-04-11 21:30,934.8335723,,
2020-04-11 22:30,935.1727532,,
2020-04-11 23:30,932.3086629,,
2020-04-12 0:30,929.2596846,,
2020-04-12 1:30,927.5648624,,
2020-04-12 2:30,927.7678814,,
2020-04-12 3:30,924.1257033,,
2020-04-12 4:30,924.9395695,,
2020-04-12 5:30,922.6838054,,
2020-04-12 6:30,923.2544145,,
2020-04-12 7:30,920.4976889,,
2020-04-12 8:30,920.9002992,,
2020-04-12 9:30,920.3084302,,
2020-04-12 10:30,918.8288297,,
2020-04-12 11:30,920.8729776,,
2020-04-12 12:30,920.6324106,,
2020-04-12 13:30,922.9582264,,
2020-04-12 14:30,929.2787469,,
2020-04-12 15:30,932.5442345,,
2020-04-12 16:30,937.1638419,,
2020-04-12 17:30,940.9857299,,
2020-04-12 18:30,945.0617877,,
2020-04-12 19:30,943.9170714,,
2020-04-12 20:30,942.4296079,,
2020-04-12 21:30,939.8052085,,
2020-04-12 22:30,943.5186612,,
2020-04-12 23:30,940.1599569,,
2020-04-13 0:30,938.353731,,
2020-04-13 1:30,940.3538204,,
2020-04-13 2:30,938.5606009,,
2020-04-13 3:30,936.3613891,,
2020-04-13 4:30,934.3039553,,
2020-04-13 5:30,933.708864,,
2020-04-13 6:30,934.5181785,,
2020-04-13 7:30,932.4398993,,
2020-04-13 8:30,933.073222,,
2020-04-13 9:30,934.3745896,,
2020-04-13 10:30,935.979409,,
2020-04-13 11:30,939.395802,,
2020-04-13 12:30,940.8994539,,
2020-04-13 13:30,945.5852959,,
2020-04-13 14:30,948.3876328,,
2020-04-13 15:30,951.1827122,,
2020-04-13 16:30,957.2613396,,
2020-04-13 17:30,957.183678,,
2020-04-13 18:30,959.9496815,,
2020-04-13 19:30,959.1946612,,
2020-04-13 20:30,959.2220875,,
2020-04-13 21:30,962.1824487,,
2020-04-13 22:30,964.9974528,,
2020-04-13 23:30,960.4888015,,
2020-04-14 0:30,963.6799393,,
2020-04-14 1:30,964.3876948,,
2020-04-14 2:30,963.7678114,,
2020-04-14 3:30,961.1353013,,
2020-04-14 4:30,960.8792217,,
