DATE,BWE
2023-05-31,0.32
2023-06-13,1.044545455
2023-07-03,4.91
2023-07-19,6.1675
2023-08-03,6.98
2023-08-17,6.691578947
2023-09-11,5.24
2023-10-30,0.5
