DATE,SE
01-Apr,
02-Apr,
03-Apr,
04-Apr,
05-Apr,
06-Apr,
07-Apr,
08-Apr,
09-Apr,
10-Apr,
11-Apr,
12-Apr,
13-Apr,
14-Apr,
15-Apr,
16-Apr,
17-Apr,
18-Apr,
19-Apr,
20-Apr,
21-Apr,
22-Apr,
23-Apr,
24-Apr,
25-Apr,
26-Apr,
27-Apr,
28-Apr,
29-Apr,
30-Apr,
01-May,
02-May,
03-May,
04-May,
05-May,
06-May,
07-May,
08-May,
09-May,
10-May,
11-May,
12-May,
13-May,
14-May,
15-May,
16-May,
17-May,
18-May,
19-May,
20-May,
21-May,
22-May,
23-May,
24-May,
25-May,
26-May,
27-May,
28-May,
29-May,
30-May,
31-May,
01-Jun,
02-Jun,
03-Jun,
04-Jun,
05-Jun,
06-Jun,
07-Jun,
08-Jun,
09-Jun,
10-Jun,
11-Jun,
12-Jun,0.113160817
13-Jun,
14-Jun,
15-Jun,
16-Jun,
17-Jun,
18-Jun,
19-Jun,
20-Jun,
21-Jun,0.278065236
22-Jun,
23-Jun,
24-Jun,
25-Jun,
26-Jun,
27-Jun,
28-Jun,0.21168236
29-Jun,
30-Jun,
01-Jul,
02-Jul,
03-Jul,
04-Jul,
05-Jul,0.481234738
06-Jul,
07-Jul,
08-Jul,
09-Jul,
10-Jul,
11-Jul,
12-Jul,0.402450452
13-Jul,
14-Jul,
15-Jul,
16-Jul,
17-Jul,
18-Jul,
19-Jul,0.637525065
20-Jul,
21-Jul,
22-Jul,
23-Jul,
24-Jul,
25-Jul,
26-Jul,0.561839199
27-Jul,
28-Jul,
29-Jul,
30-Jul,
31-Jul,
01-Aug,
02-Aug,
03-Aug,0.494613629
04-Aug,
05-Aug,
06-Aug,
07-Aug,
08-Aug,
09-Aug,
10-Aug,
11-Aug,
12-Aug,
13-Aug,
14-Aug,
15-Aug,0.487445856
16-Aug,
17-Aug,
18-Aug,
19-Aug,
20-Aug,
21-Aug,
22-Aug,
23-Aug,
24-Aug,
25-Aug,
26-Aug,
27-Aug,
28-Aug,
29-Aug,
30-Aug,
31-Aug,
01-Sep,
02-Sep,
03-Sep,
04-Sep,0.300229109
05-Sep,
06-Sep,
07-Sep,
08-Sep,
09-Sep,
10-Sep,
11-Sep,
12-Sep,
13-Sep,
14-Sep,
15-Sep,
16-Sep,
17-Sep,
18-Sep,0.234279946
19-Sep,
20-Sep,
21-Sep,
22-Sep,
23-Sep,
24-Sep,
25-Sep,
26-Sep,
27-Sep,
28-Sep,
29-Sep,
30-Sep,
01-Oct,
02-Oct,
03-Oct,
04-Oct,
05-Oct,
06-Oct,
07-Oct,
08-Oct,
09-Oct,
10-Oct,
11-Oct,
12-Oct,
13-Oct,
14-Oct,
15-Oct,
16-Oct,
17-Oct,
18-Oct,
19-Oct,
20-Oct,
21-Oct,
22-Oct,
23-Oct,
24-Oct,
25-Oct,
26-Oct,
27-Oct,
28-Oct,
29-Oct,
30-Oct,
31-Oct,
01-Nov,
02-Nov,
03-Nov,
04-Nov,
05-Nov,
06-Nov,
07-Nov,
08-Nov,
09-Nov,
10-Nov,
11-Nov,
12-Nov,
13-Nov,
14-Nov,
15-Nov,
