DATE,NPIV
2023-05-31,1661.937731
2023-06-13,1562.772147
2023-07-08,1498.710051
2023-07-19,1515.568256
2023-08-03,1440.063747
2023-08-17,1507.229096
2023-09-11,1514.226439
2023-10-30,1600.071909
