DATE,Upper,Lower,,SD,,SD Weighted
2023-05-31,0.226773591,0.240565478,,,,
2023-06-13,0.238352532,0.245369233,,,,
2023-07-08,0.268204377,0.226404255,,,,
2023-07-19,0.252394641,0.230170868,,,,
2023-08-03,0.280236271,0.249212805,,,,
2023-08-17,0.254812635,0.242001085,,,,
2023-09-11,0.234467696,0.211025073,,,,
2023-10-30,0.240127644,0.233952833,,,,
