DATE,SWC
2020-04-01,0.227019757
2020-04-02,0.225337441
2020-04-03,0.223838517
2020-04-04,0.230183881
2020-04-05,0.230572672
2020-04-06,0.231174198
2020-04-07,0.231203541
2020-04-08,0.229809761
2020-04-09,0.226525822
2020-04-10,0.223606221
2020-04-11,0.223024257
2020-04-12,0.221855438
2020-04-13,0.219500685
2020-04-14,0.218236502
2020-04-15,0.217522496
2020-04-16,0.216845168
2020-04-17,0.22801252
2020-04-18,0.2373973
2020-04-19,0.235387324
2020-04-20,0.233174394
2020-04-21,0.230399061
2020-04-22,0.229462539
2020-04-23,0.228472222
2020-04-24,0.226877934
2020-04-25,0.225533059
2020-04-26,0.224924198
2020-04-27,0.225381455
2020-04-28,0.225281201
2020-04-29,0.223682023
2020-04-30,0.222850646
2020-05-01,0.222921557
2020-05-02,0.222322477
2020-05-03,0.221271029
2020-05-04,0.220310055
2020-05-05,0.219684077
2020-05-06,0.219410211
2020-05-07,0.220266041
2020-05-08,0.242495599
2020-05-09,0.23862725
2020-05-10,0.235443564
2020-05-11,0.233169503
2020-05-12,0.232037363
2020-05-13,0.230932121
2020-05-14,0.231152191
2020-05-15,0.231824628
2020-05-16,0.231753717
2020-05-17,0.231064163
2020-05-18,0.230191217
2020-05-19,0.229858666
2020-05-20,0.229824433
2020-05-21,0.229665493
2020-05-22,0.229288928
2020-05-23,0.230628912
2020-05-24,0.250063576
2020-05-25,0.255132531
2020-05-26,0.256548318
2020-05-27,0.248941217
2020-05-28,0.243948063
2020-05-29,0.240651897
2020-05-30,0.242031005
2020-05-31,0.25872457
2020-06-01,0.247897105
2020-06-02,0.242718114
2020-06-03,0.238441412
2020-06-04,0.234736894
2020-06-05,0.231333138
2020-06-06,0.227142019
2020-06-07,0.22208529
2020-06-08,0.216126272
2020-06-09,0.209878717
2020-06-10,0.20694689
2020-06-11,0.203689847
2020-06-12,0.199601428
2020-06-13,0.194407766
2020-06-14,0.188967136
2020-06-15,0.183519171
2020-06-16,0.178367077
2020-06-17,0.173618447
2020-06-18,0.188751956
2020-06-19,0.217194836
2020-06-20,0.210221049
2020-06-21,0.203132336
2020-06-22,0.198630673
2020-06-23,0.194136346
2020-06-24,0.184198944
2020-06-25,0.178944151
2020-06-26,0.176139476
2020-06-27,0.173258998
2020-06-28,0.197728384
2020-06-29,0.19180849
2020-06-30,0.186238263
2020-07-01,0.223016921
2020-07-02,0.21050225
2020-07-03,0.19988752
2020-07-04,0.188773963
2020-07-05,0.178411092
2020-07-06,0.170214691
2020-07-07,0.16304284
2020-07-08,0.157357688
2020-07-09,0.152767997
2020-07-10,0.149552523
2020-07-11,0.147014378
2020-07-12,0.144346635
2020-07-13,0.142233959
2020-07-14,0.140810837
2020-07-15,0.149787265
2020-07-16,0.150034233
2020-07-17,0.152198259
2020-07-18,0.187253032
2020-07-19,0.178682512
2020-07-20,0.195784429
2020-07-21,0.207152289
2020-07-22,0.196835876
2020-07-23,0.206333138
2020-07-24,0.197124413
2020-07-25,0.185700313
2020-07-26,0.18012275
2020-07-27,0.213123533
2020-07-28,0.200687109
2020-07-29,0.199388693
2020-07-30,0.214607786
2020-07-31,0.203171459
2020-08-01,0.193979851
2020-08-02,0.185712539
2020-08-03,0.177388987
2020-08-04,0.171322379
2020-08-05,0.209895833
2020-08-06,0.199975548
2020-08-07,0.193955399
2020-08-08,0.213162656
2020-08-09,0.217710779
2020-08-10,0.208193955
2020-08-11,0.197872653
2020-08-12,0.190351135
2020-08-13,0.183499609
2020-08-14,0.177381651
2020-08-15,0.184291862
2020-08-16,0.199882629
2020-08-17,0.223655125
2020-08-18,0.213529441
2020-08-19,0.205506651
2020-08-20,0.211678404
2020-08-21,0.215933099
2020-08-22,0.206565434
2020-08-23,0.198139182
2020-08-24,0.189563772
2020-08-25,0.181350254
2020-08-26,0.174175959
2020-08-27,0.168329421
2020-08-28,0.164314358
2020-08-29,0.160115904
2020-08-30,0.155802523
