DATE,SE,SE_CrnsDistance
2023-05-15,0.014738027,0.0037
2023-06-08,0.016395454,0.003202
2023-06-21,0.012105761,0.003434
2023-07-10,0.016645095,0.004401
2023-07-24,0.017990391,0.010158
2023-08-09,0.018576866,0.007851
2023-08-28,0.01407943,0.0030507
2023-09-21,0.011421431,0.003743
2023-10-23,0.015913772,0.002948
