DATE,Upper,Lower
2023-05-15,0.20973697,0.215853
2023-06-08,0.244194,0.248028
2023-06-21,0.18671009,0.21195
2023-07-10,0.24296456,0.22463597
2023-07-24,0.293923,0.223975
2023-08-09,0.2835447,0.24506698
2023-08-28,0.207717,0.204512
2023-09-21,0.188446,0.19474
2023-10-23,0.2221423,0.234369
